instant,dateday,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,count
281,2011-10-08,Dingin,0,Oktober,0,Sabtu,0,Cerah/Sebagian Berawan,2235,3174,5409
282,2011-10-09,Dingin,0,Oktober,0,Minggu,0,Cerah/Sebagian Berawan,2397,3114,5511
283,2011-10-10,Dingin,0,Oktober,1,Senin,0,Cerah/Sebagian Berawan,1514,3603,5117
284,2011-10-11,Dingin,0,Oktober,0,Selasa,1,Berkabut/Berawan,667,3896,4563
285,2011-10-12,Dingin,0,Oktober,0,Rabu,1,Salju Ringan/Hujan,217,2199,2416
286,2011-10-13,Dingin,0,Oktober,0,Kamis,1,Berkabut/Berawan,290,2623,2913
287,2011-10-14,Dingin,0,Oktober,0,Jumat,1,Berkabut/Berawan,529,3115,3644
288,2011-10-15,Dingin,0,Oktober,0,Sabtu,0,Cerah/Sebagian Berawan,1899,3318,5217
289,2011-10-16,Dingin,0,Oktober,0,Minggu,0,Cerah/Sebagian Berawan,1748,3293,5041
290,2011-10-17,Dingin,0,Oktober,0,Senin,1,Cerah/Sebagian Berawan,713,3857,4570
291,2011-10-18,Dingin,0,Oktober,0,Selasa,1,Berkabut/Berawan,637,4111,4748
292,2011-10-19,Dingin,0,Oktober,0,Rabu,1,Salju Ringan/Hujan,254,2170,2424
293,2011-10-20,Dingin,0,Oktober,0,Kamis,1,Cerah/Sebagian Berawan,471,3724,4195
294,2011-10-21,Dingin,0,Oktober,0,Jumat,1,Cerah/Sebagian Berawan,676,3628,4304
295,2011-10-22,Dingin,0,Oktober,0,Sabtu,0,Cerah/Sebagian Berawan,1499,2809,4308
296,2011-10-23,Dingin,0,Oktober,0,Minggu,0,Cerah/Sebagian Berawan,1619,2762,4381
297,2011-10-24,Dingin,0,Oktober,0,Senin,1,Cerah/Sebagian Berawan,699,3488,4187
298,2011-10-25,Dingin,0,Oktober,0,Selasa,1,Cerah/Sebagian Berawan,695,3992,4687
299,2011-10-26,Dingin,0,Oktober,0,Rabu,1,Berkabut/Berawan,404,3490,3894
300,2011-10-27,Dingin,0,Oktober,0,Kamis,1,Berkabut/Berawan,240,2419,2659
301,2011-10-28,Dingin,0,Oktober,0,Jumat,1,Berkabut/Berawan,456,3291,3747
302,2011-10-29,Dingin,0,Oktober,0,Sabtu,0,Salju Ringan/Hujan,57,570,627
303,2011-10-30,Dingin,0,Oktober,0,Minggu,0,Cerah/Sebagian Berawan,885,2446,3331
304,2011-10-31,Dingin,0,Oktober,0,Senin,1,Cerah/Sebagian Berawan,362,3307,3669
305,2011-11-01,Dingin,0,November,0,Selasa,1,Cerah/Sebagian Berawan,410,3658,4068
306,2011-11-02,Dingin,0,November,0,Rabu,1,Cerah/Sebagian Berawan,370,3816,4186
307,2011-11-03,Dingin,0,November,0,Kamis,1,Cerah/Sebagian Berawan,318,3656,3974
308,2011-11-04,Dingin,0,November,0,Jumat,1,Berkabut/Berawan,470,3576,4046
309,2011-11-05,Dingin,0,November,0,Sabtu,0,Cerah/Sebagian Berawan,1156,2770,3926
310,2011-11-06,Dingin,0,November,0,Minggu,0,Cerah/Sebagian Berawan,952,2697,3649
311,2011-11-07,Dingin,0,November,0,Senin,1,Cerah/Sebagian Berawan,373,3662,4035
312,2011-11-08,Dingin,0,November,0,Selasa,1,Cerah/Sebagian Berawan,376,3829,4205
313,2011-11-09,Dingin,0,November,0,Rabu,1,Cerah/Sebagian Berawan,305,3804,4109
314,2011-11-10,Dingin,0,November,0,Kamis,1,Berkabut/Berawan,190,2743,2933
315,2011-11-11,Dingin,0,November,1,Jumat,0,Cerah/Sebagian Berawan,440,2928,3368
316,2011-11-12,Dingin,0,November,0,Sabtu,0,Cerah/Sebagian Berawan,1275,2792,4067
317,2011-11-13,Dingin,0,November,0,Minggu,0,Cerah/Sebagian Berawan,1004,2713,3717
318,2011-11-14,Dingin,0,November,0,Senin,1,Cerah/Sebagian Berawan,595,3891,4486
319,2011-11-15,Dingin,0,November,0,Selasa,1,Berkabut/Berawan,449,3746,4195
320,2011-11-16,Dingin,0,November,0,Rabu,1,Salju Ringan/Hujan,145,1672,1817
321,2011-11-17,Dingin,0,November,0,Kamis,1,Berkabut/Berawan,139,2914,3053
322,2011-11-18,Dingin,0,November,0,Jumat,1,Cerah/Sebagian Berawan,245,3147,3392
323,2011-11-19,Dingin,0,November,0,Sabtu,0,Cerah/Sebagian Berawan,943,2720,3663
324,2011-11-20,Dingin,0,November,0,Minggu,0,Berkabut/Berawan,787,2733,3520
325,2011-11-21,Dingin,0,November,0,Senin,1,Salju Ringan/Hujan,220,2545,2765
326,2011-11-22,Dingin,0,November,0,Selasa,1,Salju Ringan/Hujan,69,1538,1607
327,2011-11-23,Dingin,0,November,0,Rabu,1,Berkabut/Berawan,112,2454,2566
328,2011-11-24,Dingin,0,November,1,Kamis,0,Cerah/Sebagian Berawan,560,935,1495
329,2011-11-25,Dingin,0,November,0,Jumat,1,Cerah/Sebagian Berawan,1095,1697,2792
330,2011-11-26,Dingin,0,November,0,Sabtu,0,Cerah/Sebagian Berawan,1249,1819,3068
331,2011-11-27,Dingin,0,November,0,Minggu,0,Cerah/Sebagian Berawan,810,2261,3071
332,2011-11-28,Dingin,0,November,0,Senin,1,Cerah/Sebagian Berawan,253,3614,3867
333,2011-11-29,Dingin,0,November,0,Selasa,1,Berkabut/Berawan,96,2818,2914
334,2011-11-30,Dingin,0,November,0,Rabu,1,Cerah/Sebagian Berawan,188,3425,3613
335,2011-12-01,Dingin,0,Desember,0,Kamis,1,Cerah/Sebagian Berawan,182,3545,3727
336,2011-12-02,Dingin,0,Desember,0,Jumat,1,Cerah/Sebagian Berawan,268,3672,3940
337,2011-12-03,Dingin,0,Desember,0,Sabtu,0,Cerah/Sebagian Berawan,706,2908,3614
338,2011-12-04,Dingin,0,Desember,0,Minggu,0,Cerah/Sebagian Berawan,634,2851,3485
339,2011-12-05,Dingin,0,Desember,0,Senin,1,Berkabut/Berawan,233,3578,3811
340,2011-12-06,Dingin,0,Desember,0,Selasa,1,Salju Ringan/Hujan,126,2468,2594
341,2011-12-07,Dingin,0,Desember,0,Rabu,1,Salju Ringan/Hujan,50,655,705
342,2011-12-08,Dingin,0,Desember,0,Kamis,1,Cerah/Sebagian Berawan,150,3172,3322
343,2011-12-09,Dingin,0,Desember,0,Jumat,1,Cerah/Sebagian Berawan,261,3359,3620
344,2011-12-10,Dingin,0,Desember,0,Sabtu,0,Cerah/Sebagian Berawan,502,2688,3190
345,2011-12-11,Dingin,0,Desember,0,Minggu,0,Cerah/Sebagian Berawan,377,2366,2743
346,2011-12-12,Dingin,0,Desember,0,Senin,1,Cerah/Sebagian Berawan,143,3167,3310
347,2011-12-13,Dingin,0,Desember,0,Selasa,1,Cerah/Sebagian Berawan,155,3368,3523
348,2011-12-14,Dingin,0,Desember,0,Rabu,1,Berkabut/Berawan,178,3562,3740
349,2011-12-15,Dingin,0,Desember,0,Kamis,1,Berkabut/Berawan,181,3528,3709
350,2011-12-16,Dingin,0,Desember,0,Jumat,1,Berkabut/Berawan,178,3399,3577
351,2011-12-17,Dingin,0,Desember,0,Sabtu,0,Berkabut/Berawan,275,2464,2739
352,2011-12-18,Dingin,0,Desember,0,Minggu,0,Cerah/Sebagian Berawan,220,2211,2431
353,2011-12-19,Dingin,0,Desember,0,Senin,1,Cerah/Sebagian Berawan,260,3143,3403
354,2011-12-20,Dingin,0,Desember,0,Selasa,1,Berkabut/Berawan,216,3534,3750
355,2011-12-21,Panas,0,Desember,0,Rabu,1,Berkabut/Berawan,107,2553,2660
356,2011-12-22,Panas,0,Desember,0,Kamis,1,Berkabut/Berawan,227,2841,3068
357,2011-12-23,Panas,0,Desember,0,Jumat,1,Cerah/Sebagian Berawan,163,2046,2209
358,2011-12-24,Panas,0,Desember,0,Sabtu,0,Cerah/Sebagian Berawan,155,856,1011
359,2011-12-25,Panas,0,Desember,0,Minggu,0,Cerah/Sebagian Berawan,303,451,754
360,2011-12-26,Panas,0,Desember,1,Senin,0,Cerah/Sebagian Berawan,430,887,1317
361,2011-12-27,Panas,0,Desember,0,Selasa,1,Berkabut/Berawan,103,1059,1162
362,2011-12-28,Panas,0,Desember,0,Rabu,1,Cerah/Sebagian Berawan,255,2047,2302
363,2011-12-29,Panas,0,Desember,0,Kamis,1,Cerah/Sebagian Berawan,254,2169,2423
364,2011-12-30,Panas,0,Desember,0,Jumat,1,Cerah/Sebagian Berawan,491,2508,2999
365,2011-12-31,Panas,0,Desember,0,Sabtu,0,Cerah/Sebagian Berawan,665,1820,2485
366,2012-01-01,Panas,1,Januari,0,Minggu,0,Cerah/Sebagian Berawan,686,1608,2294
367,2012-01-02,Panas,1,Januari,1,Senin,0,Cerah/Sebagian Berawan,244,1707,1951
368,2012-01-03,Panas,1,Januari,0,Selasa,1,Cerah/Sebagian Berawan,89,2147,2236
369,2012-01-04,Panas,1,Januari,0,Rabu,1,Berkabut/Berawan,95,2273,2368
370,2012-01-05,Panas,1,Januari,0,Kamis,1,Cerah/Sebagian Berawan,140,3132,3272
371,2012-01-06,Panas,1,Januari,0,Jumat,1,Cerah/Sebagian Berawan,307,3791,4098
372,2012-01-07,Panas,1,Januari,0,Sabtu,0,Cerah/Sebagian Berawan,1070,3451,4521
373,2012-01-08,Panas,1,Januari,0,Minggu,0,Cerah/Sebagian Berawan,599,2826,3425
374,2012-01-09,Panas,1,Januari,0,Senin,1,Berkabut/Berawan,106,2270,2376
375,2012-01-10,Panas,1,Januari,0,Selasa,1,Cerah/Sebagian Berawan,173,3425,3598
376,2012-01-11,Panas,1,Januari,0,Rabu,1,Berkabut/Berawan,92,2085,2177
377,2012-01-12,Panas,1,Januari,0,Kamis,1,Berkabut/Berawan,269,3828,4097
378,2012-01-13,Panas,1,Januari,0,Jumat,1,Cerah/Sebagian Berawan,174,3040,3214
379,2012-01-14,Panas,1,Januari,0,Sabtu,0,Cerah/Sebagian Berawan,333,2160,2493
380,2012-01-15,Panas,1,Januari,0,Minggu,0,Cerah/Sebagian Berawan,284,2027,2311
381,2012-01-16,Panas,1,Januari,1,Senin,0,Cerah/Sebagian Berawan,217,2081,2298
382,2012-01-17,Panas,1,Januari,0,Selasa,1,Berkabut/Berawan,127,2808,2935
383,2012-01-18,Panas,1,Januari,0,Rabu,1,Cerah/Sebagian Berawan,109,3267,3376
384,2012-01-19,Panas,1,Januari,0,Kamis,1,Cerah/Sebagian Berawan,130,3162,3292
385,2012-01-20,Panas,1,Januari,0,Jumat,1,Berkabut/Berawan,115,3048,3163
386,2012-01-21,Panas,1,Januari,0,Sabtu,0,Berkabut/Berawan,67,1234,1301
387,2012-01-22,Panas,1,Januari,0,Minggu,0,Berkabut/Berawan,196,1781,1977
388,2012-01-23,Panas,1,Januari,0,Senin,1,Berkabut/Berawan,145,2287,2432
389,2012-01-24,Panas,1,Januari,0,Selasa,1,Cerah/Sebagian Berawan,439,3900,4339
390,2012-01-25,Panas,1,Januari,0,Rabu,1,Cerah/Sebagian Berawan,467,3803,4270
391,2012-01-26,Panas,1,Januari,0,Kamis,1,Berkabut/Berawan,244,3831,4075
392,2012-01-27,Panas,1,Januari,0,Jumat,1,Berkabut/Berawan,269,3187,3456
393,2012-01-28,Panas,1,Januari,0,Sabtu,0,Cerah/Sebagian Berawan,775,3248,4023
394,2012-01-29,Panas,1,Januari,0,Minggu,0,Cerah/Sebagian Berawan,558,2685,3243
395,2012-01-30,Panas,1,Januari,0,Senin,1,Cerah/Sebagian Berawan,126,3498,3624
396,2012-01-31,Panas,1,Januari,0,Selasa,1,Cerah/Sebagian Berawan,324,4185,4509
397,2012-02-01,Panas,1,Februari,0,Rabu,1,Cerah/Sebagian Berawan,304,4275,4579
398,2012-02-02,Panas,1,Februari,0,Kamis,1,Berkabut/Berawan,190,3571,3761
399,2012-02-03,Panas,1,Februari,0,Jumat,1,Cerah/Sebagian Berawan,310,3841,4151
400,2012-02-04,Panas,1,Februari,0,Sabtu,0,Berkabut/Berawan,384,2448,2832
401,2012-02-05,Panas,1,Februari,0,Minggu,0,Berkabut/Berawan,318,2629,2947
402,2012-02-06,Panas,1,Februari,0,Senin,1,Cerah/Sebagian Berawan,206,3578,3784
403,2012-02-07,Panas,1,Februari,0,Selasa,1,Cerah/Sebagian Berawan,199,4176,4375
404,2012-02-08,Panas,1,Februari,0,Rabu,1,Berkabut/Berawan,109,2693,2802
405,2012-02-09,Panas,1,Februari,0,Kamis,1,Cerah/Sebagian Berawan,163,3667,3830
406,2012-02-10,Panas,1,Februari,0,Jumat,1,Berkabut/Berawan,227,3604,3831
407,2012-02-11,Panas,1,Februari,0,Sabtu,0,Salju Ringan/Hujan,192,1977,2169
408,2012-02-12,Panas,1,Februari,0,Minggu,0,Cerah/Sebagian Berawan,73,1456,1529
409,2012-02-13,Panas,1,Februari,0,Senin,1,Cerah/Sebagian Berawan,94,3328,3422
410,2012-02-14,Panas,1,Februari,0,Selasa,1,Berkabut/Berawan,135,3787,3922
411,2012-02-15,Panas,1,Februari,0,Rabu,1,Cerah/Sebagian Berawan,141,4028,4169
412,2012-02-16,Panas,1,Februari,0,Kamis,1,Berkabut/Berawan,74,2931,3005
413,2012-02-17,Panas,1,Februari,0,Jumat,1,Cerah/Sebagian Berawan,349,3805,4154
414,2012-02-18,Panas,1,Februari,0,Sabtu,0,Cerah/Sebagian Berawan,1435,2883,4318
415,2012-02-19,Panas,1,Februari,0,Minggu,0,Berkabut/Berawan,618,2071,2689
416,2012-02-20,Panas,1,Februari,1,Senin,0,Cerah/Sebagian Berawan,502,2627,3129
417,2012-02-21,Panas,1,Februari,0,Selasa,1,Cerah/Sebagian Berawan,163,3614,3777
418,2012-02-22,Panas,1,Februari,0,Rabu,1,Cerah/Sebagian Berawan,394,4379,4773
419,2012-02-23,Panas,1,Februari,0,Kamis,1,Cerah/Sebagian Berawan,516,4546,5062
420,2012-02-24,Panas,1,Februari,0,Jumat,1,Berkabut/Berawan,246,3241,3487
421,2012-02-25,Panas,1,Februari,0,Sabtu,0,Cerah/Sebagian Berawan,317,2415,2732
422,2012-02-26,Panas,1,Februari,0,Minggu,0,Cerah/Sebagian Berawan,515,2874,3389
423,2012-02-27,Panas,1,Februari,0,Senin,1,Cerah/Sebagian Berawan,253,4069,4322
424,2012-02-28,Panas,1,Februari,0,Selasa,1,Cerah/Sebagian Berawan,229,4134,4363
425,2012-02-29,Panas,1,Februari,0,Rabu,1,Berkabut/Berawan,65,1769,1834
426,2012-03-01,Panas,1,Maret,0,Kamis,1,Cerah/Sebagian Berawan,325,4665,4990
427,2012-03-02,Panas,1,Maret,0,Jumat,1,Berkabut/Berawan,246,2948,3194
428,2012-03-03,Panas,1,Maret,0,Sabtu,0,Berkabut/Berawan,956,3110,4066
429,2012-03-04,Panas,1,Maret,0,Minggu,0,Cerah/Sebagian Berawan,710,2713,3423
430,2012-03-05,Panas,1,Maret,0,Senin,1,Cerah/Sebagian Berawan,203,3130,3333
431,2012-03-06,Panas,1,Maret,0,Selasa,1,Cerah/Sebagian Berawan,221,3735,3956
432,2012-03-07,Panas,1,Maret,0,Rabu,1,Cerah/Sebagian Berawan,432,4484,4916
433,2012-03-08,Panas,1,Maret,0,Kamis,1,Cerah/Sebagian Berawan,486,4896,5382
434,2012-03-09,Panas,1,Maret,0,Jumat,1,Berkabut/Berawan,447,4122,4569
435,2012-03-10,Panas,1,Maret,0,Sabtu,0,Cerah/Sebagian Berawan,968,3150,4118
436,2012-03-11,Panas,1,Maret,0,Minggu,0,Cerah/Sebagian Berawan,1658,3253,4911
437,2012-03-12,Panas,1,Maret,0,Senin,1,Cerah/Sebagian Berawan,838,4460,5298
438,2012-03-13,Panas,1,Maret,0,Selasa,1,Cerah/Sebagian Berawan,762,5085,5847
439,2012-03-14,Panas,1,Maret,0,Rabu,1,Cerah/Sebagian Berawan,997,5315,6312
440,2012-03-15,Panas,1,Maret,0,Kamis,1,Cerah/Sebagian Berawan,1005,5187,6192
441,2012-03-16,Panas,1,Maret,0,Jumat,1,Berkabut/Berawan,548,3830,4378
442,2012-03-17,Panas,1,Maret,0,Sabtu,0,Berkabut/Berawan,3155,4681,7836
443,2012-03-18,Panas,1,Maret,0,Minggu,0,Berkabut/Berawan,2207,3685,5892
444,2012-03-19,Panas,1,Maret,0,Senin,1,Cerah/Sebagian Berawan,982,5171,6153
445,2012-03-20,Panas,1,Maret,0,Selasa,1,Cerah/Sebagian Berawan,1051,5042,6093
446,2012-03-21,Semi,1,Maret,0,Rabu,1,Berkabut/Berawan,1122,5108,6230
447,2012-03-22,Semi,1,Maret,0,Kamis,1,Cerah/Sebagian Berawan,1334,5537,6871
448,2012-03-23,Semi,1,Maret,0,Jumat,1,Berkabut/Berawan,2469,5893,8362
449,2012-03-24,Semi,1,Maret,0,Sabtu,0,Berkabut/Berawan,1033,2339,3372
450,2012-03-25,Semi,1,Maret,0,Minggu,0,Berkabut/Berawan,1532,3464,4996
451,2012-03-26,Semi,1,Maret,0,Senin,1,Cerah/Sebagian Berawan,795,4763,5558
452,2012-03-27,Semi,1,Maret,0,Selasa,1,Cerah/Sebagian Berawan,531,4571,5102
453,2012-03-28,Semi,1,Maret,0,Rabu,1,Cerah/Sebagian Berawan,674,5024,5698
454,2012-03-29,Semi,1,Maret,0,Kamis,1,Cerah/Sebagian Berawan,834,5299,6133
455,2012-03-30,Semi,1,Maret,0,Jumat,1,Berkabut/Berawan,796,4663,5459
456,2012-03-31,Semi,1,Maret,0,Sabtu,0,Berkabut/Berawan,2301,3934,6235
457,2012-04-01,Semi,1,April,0,Minggu,0,Berkabut/Berawan,2347,3694,6041
458,2012-04-02,Semi,1,April,0,Senin,1,Cerah/Sebagian Berawan,1208,4728,5936
459,2012-04-03,Semi,1,April,0,Selasa,1,Cerah/Sebagian Berawan,1348,5424,6772
460,2012-04-04,Semi,1,April,0,Rabu,1,Cerah/Sebagian Berawan,1058,5378,6436
461,2012-04-05,Semi,1,April,0,Kamis,1,Cerah/Sebagian Berawan,1192,5265,6457
462,2012-04-06,Semi,1,April,0,Jumat,1,Cerah/Sebagian Berawan,1807,4653,6460
463,2012-04-07,Semi,1,April,0,Sabtu,0,Cerah/Sebagian Berawan,3252,3605,6857
464,2012-04-08,Semi,1,April,0,Minggu,0,Cerah/Sebagian Berawan,2230,2939,5169
465,2012-04-09,Semi,1,April,0,Senin,1,Cerah/Sebagian Berawan,905,4680,5585
466,2012-04-10,Semi,1,April,0,Selasa,1,Cerah/Sebagian Berawan,819,5099,5918
467,2012-04-11,Semi,1,April,0,Rabu,1,Cerah/Sebagian Berawan,482,4380,4862
468,2012-04-12,Semi,1,April,0,Kamis,1,Cerah/Sebagian Berawan,663,4746,5409
469,2012-04-13,Semi,1,April,0,Jumat,1,Cerah/Sebagian Berawan,1252,5146,6398
470,2012-04-14,Semi,1,April,0,Sabtu,0,Cerah/Sebagian Berawan,2795,4665,7460
471,2012-04-15,Semi,1,April,0,Minggu,0,Cerah/Sebagian Berawan,2846,4286,7132
472,2012-04-16,Semi,1,April,1,Senin,0,Cerah/Sebagian Berawan,1198,5172,6370
473,2012-04-17,Semi,1,April,0,Selasa,1,Cerah/Sebagian Berawan,989,5702,6691
474,2012-04-18,Semi,1,April,0,Rabu,1,Berkabut/Berawan,347,4020,4367
475,2012-04-19,Semi,1,April,0,Kamis,1,Cerah/Sebagian Berawan,846,5719,6565
476,2012-04-20,Semi,1,April,0,Jumat,1,Cerah/Sebagian Berawan,1340,5950,7290
477,2012-04-21,Semi,1,April,0,Sabtu,0,Cerah/Sebagian Berawan,2541,4083,6624
478,2012-04-22,Semi,1,April,0,Minggu,0,Salju Ringan/Hujan,120,907,1027
479,2012-04-23,Semi,1,April,0,Senin,1,Berkabut/Berawan,195,3019,3214
480,2012-04-24,Semi,1,April,0,Selasa,1,Cerah/Sebagian Berawan,518,5115,5633
481,2012-04-25,Semi,1,April,0,Rabu,1,Cerah/Sebagian Berawan,655,5541,6196
482,2012-04-26,Semi,1,April,0,Kamis,1,Berkabut/Berawan,475,4551,5026
483,2012-04-27,Semi,1,April,0,Jumat,1,Cerah/Sebagian Berawan,1014,5219,6233
484,2012-04-28,Semi,1,April,0,Sabtu,0,Berkabut/Berawan,1120,3100,4220
485,2012-04-29,Semi,1,April,0,Minggu,0,Cerah/Sebagian Berawan,2229,4075,6304
486,2012-04-30,Semi,1,April,0,Senin,1,Berkabut/Berawan,665,4907,5572
487,2012-05-01,Semi,1,Mei,0,Selasa,1,Berkabut/Berawan,653,5087,5740
488,2012-05-02,Semi,1,Mei,0,Rabu,1,Cerah/Sebagian Berawan,667,5502,6169
489,2012-05-03,Semi,1,Mei,0,Kamis,1,Berkabut/Berawan,764,5657,6421
490,2012-05-04,Semi,1,Mei,0,Jumat,1,Cerah/Sebagian Berawan,1069,5227,6296
491,2012-05-05,Semi,1,Mei,0,Sabtu,0,Berkabut/Berawan,2496,4387,6883
492,2012-05-06,Semi,1,Mei,0,Minggu,0,Berkabut/Berawan,2135,4224,6359
493,2012-05-07,Semi,1,Mei,0,Senin,1,Berkabut/Berawan,1008,5265,6273
494,2012-05-08,Semi,1,Mei,0,Selasa,1,Berkabut/Berawan,738,4990,5728
495,2012-05-09,Semi,1,Mei,0,Rabu,1,Berkabut/Berawan,620,4097,4717
496,2012-05-10,Semi,1,Mei,0,Kamis,1,Cerah/Sebagian Berawan,1026,5546,6572
497,2012-05-11,Semi,1,Mei,0,Jumat,1,Cerah/Sebagian Berawan,1319,5711,7030
498,2012-05-12,Semi,1,Mei,0,Sabtu,0,Cerah/Sebagian Berawan,2622,4807,7429
499,2012-05-13,Semi,1,Mei,0,Minggu,0,Cerah/Sebagian Berawan,2172,3946,6118
500,2012-05-14,Semi,1,Mei,0,Senin,1,Berkabut/Berawan,342,2501,2843
501,2012-05-15,Semi,1,Mei,0,Selasa,1,Berkabut/Berawan,625,4490,5115
502,2012-05-16,Semi,1,Mei,0,Rabu,1,Cerah/Sebagian Berawan,991,6433,7424
503,2012-05-17,Semi,1,Mei,0,Kamis,1,Cerah/Sebagian Berawan,1242,6142,7384
504,2012-05-18,Semi,1,Mei,0,Jumat,1,Cerah/Sebagian Berawan,1521,6118,7639
505,2012-05-19,Semi,1,Mei,0,Sabtu,0,Cerah/Sebagian Berawan,3410,4884,8294
506,2012-05-20,Semi,1,Mei,0,Minggu,0,Cerah/Sebagian Berawan,2704,4425,7129
507,2012-05-21,Semi,1,Mei,0,Senin,1,Berkabut/Berawan,630,3729,4359
508,2012-05-22,Semi,1,Mei,0,Selasa,1,Berkabut/Berawan,819,5254,6073
509,2012-05-23,Semi,1,Mei,0,Rabu,1,Berkabut/Berawan,766,4494,5260
510,2012-05-24,Semi,1,Mei,0,Kamis,1,Cerah/Sebagian Berawan,1059,5711,6770
511,2012-05-25,Semi,1,Mei,0,Jumat,1,Cerah/Sebagian Berawan,1417,5317,6734
512,2012-05-26,Semi,1,Mei,0,Sabtu,0,Cerah/Sebagian Berawan,2855,3681,6536
513,2012-05-27,Semi,1,Mei,0,Minggu,0,Cerah/Sebagian Berawan,3283,3308,6591
514,2012-05-28,Semi,1,Mei,1,Senin,0,Cerah/Sebagian Berawan,2557,3486,6043
515,2012-05-29,Semi,1,Mei,0,Selasa,1,Cerah/Sebagian Berawan,880,4863,5743
516,2012-05-30,Semi,1,Mei,0,Rabu,1,Berkabut/Berawan,745,6110,6855
517,2012-05-31,Semi,1,Mei,0,Kamis,1,Cerah/Sebagian Berawan,1100,6238,7338
518,2012-06-01,Semi,1,Juni,0,Jumat,1,Berkabut/Berawan,533,3594,4127
519,2012-06-02,Semi,1,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,2795,5325,8120
520,2012-06-03,Semi,1,Juni,0,Minggu,0,Cerah/Sebagian Berawan,2494,5147,7641
521,2012-06-04,Semi,1,Juni,0,Senin,1,Cerah/Sebagian Berawan,1071,5927,6998
522,2012-06-05,Semi,1,Juni,0,Selasa,1,Berkabut/Berawan,968,6033,7001
523,2012-06-06,Semi,1,Juni,0,Rabu,1,Cerah/Sebagian Berawan,1027,6028,7055
524,2012-06-07,Semi,1,Juni,0,Kamis,1,Cerah/Sebagian Berawan,1038,6456,7494
525,2012-06-08,Semi,1,Juni,0,Jumat,1,Cerah/Sebagian Berawan,1488,6248,7736
526,2012-06-09,Semi,1,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,2708,4790,7498
527,2012-06-10,Semi,1,Juni,0,Minggu,0,Cerah/Sebagian Berawan,2224,4374,6598
528,2012-06-11,Semi,1,Juni,0,Senin,1,Berkabut/Berawan,1017,5647,6664
529,2012-06-12,Semi,1,Juni,0,Selasa,1,Berkabut/Berawan,477,4495,4972
530,2012-06-13,Semi,1,Juni,0,Rabu,1,Cerah/Sebagian Berawan,1173,6248,7421
531,2012-06-14,Semi,1,Juni,0,Kamis,1,Cerah/Sebagian Berawan,1180,6183,7363
532,2012-06-15,Semi,1,Juni,0,Jumat,1,Cerah/Sebagian Berawan,1563,6102,7665
533,2012-06-16,Semi,1,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,2963,4739,7702
534,2012-06-17,Semi,1,Juni,0,Minggu,0,Cerah/Sebagian Berawan,2634,4344,6978
535,2012-06-18,Semi,1,Juni,0,Senin,1,Berkabut/Berawan,653,4446,5099
536,2012-06-19,Semi,1,Juni,0,Selasa,1,Cerah/Sebagian Berawan,968,5857,6825
537,2012-06-20,Semi,1,Juni,0,Rabu,1,Cerah/Sebagian Berawan,872,5339,6211
538,2012-06-21,Gugur,1,Juni,0,Kamis,1,Cerah/Sebagian Berawan,778,5127,5905
539,2012-06-22,Gugur,1,Juni,0,Jumat,1,Cerah/Sebagian Berawan,964,4859,5823
540,2012-06-23,Gugur,1,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,2657,4801,7458
541,2012-06-24,Gugur,1,Juni,0,Minggu,0,Cerah/Sebagian Berawan,2551,4340,6891
542,2012-06-25,Gugur,1,Juni,0,Senin,1,Cerah/Sebagian Berawan,1139,5640,6779
543,2012-06-26,Gugur,1,Juni,0,Selasa,1,Cerah/Sebagian Berawan,1077,6365,7442
544,2012-06-27,Gugur,1,Juni,0,Rabu,1,Cerah/Sebagian Berawan,1077,6258,7335
545,2012-06-28,Gugur,1,Juni,0,Kamis,1,Cerah/Sebagian Berawan,921,5958,6879
546,2012-06-29,Gugur,1,Juni,0,Jumat,1,Cerah/Sebagian Berawan,829,4634,5463
547,2012-06-30,Gugur,1,Juni,0,Sabtu,0,Cerah/Sebagian Berawan,1455,4232,5687
548,2012-07-01,Gugur,1,Juli,0,Minggu,0,Cerah/Sebagian Berawan,1421,4110,5531
549,2012-07-02,Gugur,1,Juli,0,Senin,1,Cerah/Sebagian Berawan,904,5323,6227
550,2012-07-03,Gugur,1,Juli,0,Selasa,1,Cerah/Sebagian Berawan,1052,5608,6660
551,2012-07-04,Gugur,1,Juli,1,Rabu,0,Cerah/Sebagian Berawan,2562,4841,7403
552,2012-07-05,Gugur,1,Juli,0,Kamis,1,Cerah/Sebagian Berawan,1405,4836,6241
553,2012-07-06,Gugur,1,Juli,0,Jumat,1,Cerah/Sebagian Berawan,1366,4841,6207
554,2012-07-07,Gugur,1,Juli,0,Sabtu,0,Cerah/Sebagian Berawan,1448,3392,4840
555,2012-07-08,Gugur,1,Juli,0,Minggu,0,Cerah/Sebagian Berawan,1203,3469,4672
556,2012-07-09,Gugur,1,Juli,0,Senin,1,Berkabut/Berawan,998,5571,6569
557,2012-07-10,Gugur,1,Juli,0,Selasa,1,Berkabut/Berawan,954,5336,6290
558,2012-07-11,Gugur,1,Juli,0,Rabu,1,Cerah/Sebagian Berawan,975,6289,7264
559,2012-07-12,Gugur,1,Juli,0,Kamis,1,Cerah/Sebagian Berawan,1032,6414,7446
